出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
1110217,11101,2910,統領,貿易百貨,33721,37120,55536,-9.156788793,-39.28082685,33721,55536,-39.28082685,-
1110217,11101,2911,麗嬰房,貿易百貨,364774,337681,379679,8.023252715,-3.925684591,364774,379679,-3.925684591,-
1110217,11101,2912,統一超,貿易百貨,23694774,23462796,22193730,0.988705694,6.763369654,23694774,22193730,6.763369654,-
1110217,11101,2913,農林,貿易百貨,37578,34206,31374,9.857919663,19.77433544,37578,31374,19.77433544,-
1110217,11101,2915,潤泰全,貿易百貨,351814,225101,258111,56.29162021,36.30337335,351814,258111,36.30337335,-
1110217,11101,2923,鼎固-KY,建材營造,500651,425757,440643,17.59078535,13.61828056,500651,440643,13.61828056,-
1110217,11101,2929,淘帝-KY,貿易百貨,203749,327375,221731,-37.76281023,-8.109826772,203749,221731,-8.109826772,-
1110217,11101,2936,客思達-KY,貿易百貨,568785,695986,753828,-18.27637338,-24.54711154,568785,753828,-24.54711154,-
1110217,11101,2939,凱羿-KY,貿易百貨,118220,120063,170067,-1.535027444,-30.48622014,118220,170067,-30.48622014,-
1110217,11101,2945,三商家購,貿易百貨,1093423,1057564,1073307,3.390716779,1.874207473,1093423,1073307,1.874207473,-
1110217,11101,3002,歐格,電腦及週邊設備業,50923,46330,53494,9.913662853,-4.806146484,50923,53494,-4.806146484,-
1110217,11101,3003,健和興,電子零組件業,429768,477197,387500,-9.939081763,10.90787097,429768,387500,10.90787097,-
1110217,11101,3004,豐達科,鋼鐵工業,142391,175598,105170,-18.91080764,35.39127128,142391,105170,35.39127128,-
1110217,11101,3005,神基,電腦及週邊設備業,2643512,2525583,2581834,4.669377328,2.388921983,2643512,2581834,2.388921983,-
1110217,11101,3006,晶豪科,半導體業,1696175,1948743,1632033,-12.9605597,3.930190137,1696175,1632033,3.930190137,-
1110217,11101,3008,大立光,光電業,3729465,4502016,4600551,-17.16011227,-18.93438416,3729465,4600551,-18.93438416,-
1110217,11101,3010,華立,電子通路業,7265769,6091067,5844746,19.28565225,24.31282728,7265769,5844746,24.31282728,-
1110217,11101,3011,今皓,電子零組件業,172760,153421,115348,12.60518443,49.77286125,172760,115348,49.77286125,"因疫情大陸組裝廠過年期間未休假, 提前在1月份拉貨,故本月營收增加。"
1110217,11101,3013,晟銘電,電腦及週邊設備業,459693,664288,433978,-30.79914134,5.925415574,459693,433978,5.925415574,-
1110217,11101,3014,聯陽,半導體業,580181,532880,513474,8.87648251,12.99131017,580181,513474,12.99131017,-
1110217,11101,3015,全漢,電子零組件業,1466256,1238517,1510954,18.38803989,-2.958263455,1466256,1510954,-2.958263455,-
1110217,11101,3016,嘉晶,半導體業,483983,423516,367896,14.27738267,31.55429795,483983,367896,31.55429795,-
1110217,11101,3017,奇鋐,電腦及週邊設備業,4352507,4050057,3551772,7.467796132,22.54466221,4352507,3551772,22.54466221,-
1110217,11101,3018,同開,其他電子業,166420,70693,158588,135.4122756,4.938582995,166420,158588,4.938582995,-
1110217,11101,3019,亞光,光電業,1612556,1988757,1561488,-18.91638848,3.270470218,1612556,1561488,3.270470218,-
1110217,11101,3021,鴻名,電子零組件業,348186,284110,313235,22.55323642,11.1580762,348186,313235,11.1580762,-
1110217,11101,3022,威強電,電腦及週邊設備業,618164,717181,494980,-13.80641707,24.88666209,618164,494980,24.88666209,-
1110217,11101,3023,信邦,電子零組件業,2353447,2172721,2111801,8.317957069,11.44265014,2353447,2111801,11.44265014,-
1110217,11101,3024,憶聲,光電業,123169,106528,154378,15.62124512,-20.21596341,123169,154378,-20.21596341,-
1110217,11101,3025,星通,通信網路業,67736,70386,47770,-3.764953258,41.79610634,67736,47770,41.79610634,-
1110217,11101,3026,禾伸堂,電子零組件業,1619905,1015612,1713914,59.50038007,-5.485047675,1619905,1713914,-5.485047675,主要受惠於客戶需求提升且於農曆年前積極備貨
1110217,11101,3027,盛達,通信網路業,110211,119257,70080,-7.585298976,57.26455479,110211,70080,57.26455479,主要係來自北美基礎建設的網通訂單和綠能太陽能相關設備訂單增加所致
1110217,11101,3028,增你強,電子通路業,4232084,3807551,3911907,11.1497653,8.184678214,4232084,3911907,8.184678214,-
1110217,11101,3029,零壹,資訊服務業,901481,956296,997415,-5.732011846,-9.61826321,901481,997415,-9.61826321,-
1110217,11101,3030,德律,其他電子業,716031,447613,527856,59.96653359,35.64892698,716031,527856,35.64892698,主因影像光學自動檢測設備出貨增加
1110217,11101,3031,佰鴻,光電業,122738,136408,127846,-10.02140637,-3.995432004,122738,127846,-3.995432004,-
1110217,11101,3032,偉訓,電子零組件業,621027,634198,1128754,-2.076796206,-44.98119165,621027,1128754,-44.98119165,-
1110217,11101,3033,威健,電子通路業,5495218,6481989,5956993,-15.22327483,-7.751813709,5495218,5956993,-7.751813709,-
1110217,11101,3034,聯詠,半導體業,12317273,11884027,8122309,3.645616086,51.64743178,12317273,8122309,51.64743178,市場需求提升以及公司積極擴展業務，致營收較去年同期成長。
1110217,11101,3035,智原,半導體業,1051004,933782,484123,12.55346537,117.0944161,1051004,484123,117.0944161,因量產營收增加
1110217,11101,3036,文曄,電子通路業,48248004,45251566,37531203,6.621733268,28.55437647,48248004,37531203,28.55437647,-
1110217,11101,3037,欣興,電子零組件業,10477001,10239423,7448265,2.320228396,40.66364449,10477001,7448265,40.66364449,-
1110217,11101,3038,全台,光電業,400274,358203,317738,11.74501609,25.97611869,400274,317738,25.97611869,-
1110217,11101,3040,遠見,其他,12777,12399,15469,3.048632954,-17.40254703,12777,15469,-17.40254703,-
1110217,11101,3041,揚智,半導體業,195325,360301,194768,-45.78838249,0.28598127,195325,194768,0.28598127,-
1110217,11101,3042,晶技,電子零組件業,1134337,1138064,1202603,-0.327485976,-5.676520015,1134337,1202603,-5.676520015,-
1110217,11101,3043,科風,其他電子業,79123,94882,86726,-16.60905124,-8.766690497,79123,86726,-8.766690497,-
